answerId,vote,count
1dafkasa7h3tf800,1,5
1dafhb2ll5ndi800,-1,1
1daf1ah1m5j50800,1,7
1daebm2j75ndi800,1,1
1dadepj99h3l3800,1,1
1dac5bu6dh3h8800,1,4
1dabu2ss4b81j800,-1,3
1dabsvgq4h41a800,1,2
1dabs887b5nd5800,1,5
1daab2m1u5nd5800,0,1
1daaaogssb89b800,1,1
1daa77o52h3l3800,1,1
1da9jnu48h3p4800,-1,3
1da9j1oseh3t4800,-1,1
1da8inhfbh3p4800,-1,1
1da8a8p1mbrdf800,1,2
1dcbgsooeh44m800,-1,2
1da7tva88h3t4800,1,12
1da7trvtch3h8800,-1,1
1da537ifs5j4j800,1,3
1da537ifs5j4j800,-1,2
1da537ifs5j4j800,0,3
1da4unbd3b81j800,0,1
1da45oqdah3t4800,-1,1
1da2le5mi5nd5801,1,10
1da2br7g05n95800,1,1
1da26bkf8h3t4800,1,1
1da1sv31gh3h8800,1,1
1da1pti4oh3h8800,-1,11
1da18v3md52sl800,-1,1
1da18v3md52sl800,1,18
1da0fna3n5j4j800,-1,1
1da0ei0vsb89b800,-1,1
1d9vjp4s8h3h8800,-1,1
1d9v1mm8mb81j800,0,1
1d9v1mm8mb81j800,1,1
1d9uq4k2b52sl800,1,2
1d9tu3vtph3h8800,1,18
1d9tg3bgfh3t4800,0,2
1d9taqrqdbrdf800,1,7
1d9t5seag52sl800,1,1
1d9sv1a6hh3h8800,-1,2
1d9sv1a6hh3h8800,1,7
1d9smjrirb89b800,1,2
1d9r0blo8h41a800,1,13
1d9q07r2hh3l3800,0,1
1d9odd1t052sl800,-1,1
1d9odd1t052sl800,1,5
1d9ngiueh52sl800,1,8
1d9nepg3452sl800,1,1
1d9liodijb85g800,1,1
1d9lilvk9b81j800,-1,1
1d9lgnn535n95800,-1,4
1d9lbdfvfbrdf800,-1,6
1d9l30ab7b89b800,1,8
1d9l2rh0mb89b800,1,5
1d9kvc405b81j800,1,1
1d9kqcn5s5n95800,1,8
1d9ko2kb15nd5800,-1,1
1d9ko2kb15nd5800,1,3
1d9kgeskgh3p4800,1,17
1d9k02gfnb81j800,1,8
1d9jlvep5brdf800,0,1
1d9jlvep5brdf800,1,6
1d9jfi18rb81j800,1,1
1d9jfgiiob89b800,1,4
1d9j5pobbh3t4800,1,1
1d9j5pobbh3t4800,-1,8
1d9j4ccpth3p4800,1,13
1d9ivk4qah3h8800,-1,6
1d9igvfm4h3h8800,1,12
1d9i1ab4hbrdf800,1,2
1d9huj7gq5n95800,1,1
1d9hu4nk05n95800,1,1
1d9h4e3ulh3l3800,1,2
1d9gur0v05n95800,1,1
1d9fi6fns5j4j800,1,4
1d9ef8t1vh3l3800,1,1
1d9d1kv3jh3p4800,1,6
1d9d1e34bh41a800,1,16
1d9cvhrk9h453800,1,23
1d9csa7fhh453800,-1,1
1d9csa7fhh453800,1,5
1d9bi0j8cbrdf800,0,1
1d9b1dgfuh41a802,-1,1
1de36hslg0mcq000,-1,13
1d9apo4m35j4j800,-1,1
1d9aj3l7uh3h8800,1,21
1d9ah8lge5nd5800,-1,1
1d9a8hm8uh453800,1,2
1d9a8hm8uh453800,-1,1
1d9a7on6kh453801,1,10
1d99f4a2th40q803,1,4
1d99e5fcb5n8m800,1,3
1d97cqcdhb81e800,0,1
1d97cqcdhb81e800,-1,2
1d971d5vmh3gm800,1,14
1d96iuas1h3kk805,1,3
1d96iuas1h3kk805,0,1
1d95su8q4h3sk800,0,1
1d95su8q4h3sk800,1,2
1d95s20uih3gm800,1,1
1d95mf1h1b85a800,1,6
1d95a0jkv5n8m800,1,1
1d94uljosh3kk800,1,1
1d94sebkj5ncm800,1,11
1d93paisbb85a801,0,1
1d93paisbb85a801,1,4
1d935bl1rh3sk800,1,1
1d92ta23jh3ok800,0,1
1d92ta23jh3ok800,1,6
1d91e8l7724fu000,1,3
1d90uvmr4b812800,1,6
1d90uv6mr24fu000,1,4
1d8v0j475b890800,1,1
1d8ui2hml0mtf000,1,9
1d8tqgq3h0kbh000,1,1
1d8thn34j24gv000,-1,1
1d8tgt7li24fu002,1,11
1d8s6blvm24ev000,1,1
1d8rsvrfnh40h800,1,1
1d8poo9odb890800,1,1
1d8pn3kcpb890800,-1,2
1d8pn3kcpb890800,0,1
1d8p4ijn60kbh000,1,13
1d8p1af1q24ff000,-1,36
1d8ou0qia0mtf000,1,1
1d8oo2bhpb812800,1,1
1d8o8nkav0mtf000,1,9
1d8o0ldab0mch000,1,4
1d8n7rdhc0mch000,0,1
1d8n7rdhc0mch000,-1,4
1d8n7rdhc0mch000,1,5
1d8mtdslmb890800,1,1
1d8mkkj6f24fu000,-1,1
1d8mkkj6f24fu000,1,2
1db2cdhsl5ne2800,1,1
1d8mgcbp80mch000,1,1
1d8mflbef0mch000,-1,1
1d8m8te0g24ff000,-1,1
1d8m7mae41ba8000,0,7
1ddh2sjvhh3j5800,-1,1
1d8m7mae41ba8000,1,9
1d8m7drmj24fu001,-1,4
1d8lurp7g24ev000,0,1
1d8koa8t5b851800,1,4
1d8kj091i52tj800,1,3
1d8kj091i52tj800,-1,8
1d8kih9br5j5g800,1,1
1d8kih9br5j5g800,-1,6
1d8kgjpv424eu000,1,8
1d8jmr22n1ba3000,0,1
1d8jmr22n1ba3000,1,22
1d8jkt9qr24ft000,1,2
1d8jkt9qr24ft000,-1,3
1d8jc19dq5j5g800,1,1
1d8j5ftpr1ai3000,0,2
1d8i3ghe724fd000,1,2
1d8i3ghe724fd000,-1,2
1d8hr4e5tas0l800,0,2
1d8ho2v8d1agi000,1,13
1d8gsiukfb810801,-1,1
1d8ga3oa424ft000,1,4
1d8g0h74gakgg800,0,1
1d8fvqkd60mte001,0,1
1d8fvqkd60mte001,1,2
1d8etaqm95j5c800,-1,1
1d8eo2o6lbrco800,-1,1
1d8elg1f9brco800,1,3
1d8e8npg81ba3001,1,4
1d8dr2008as0h800,-1,1
1d8d37mkn24e9000,1,2
1d8cs5g8324gp000,1,1
1d8cs221224e9000,1,11
1d8c78ibpb80m800,0,1
1dgaiusi15ncl800,1,5
1d8c74409b80m801,1,3
1d8c38thg0mtr000,-1,1
1d8bkst7obrco800,0,1
1d8bidjtm5j5c800,1,1
1d8bdsm0m5j5c800,1,2
1d8ablv3j0mtr000,0,1
1d8a5fr1324g9000,1,4
1d8a19svk52tf800,1,1
1d89n966c0mta000,0,1
1d89n966c0mta000,1,3
1d89c7o9mak4h800,1,3
1dh9nj1cp5nfa801,-1,1
1d8999229b80m800,1,4
1d88nfulc52tf800,1,1
1d87s18qq24e9000,1,1
1d87ot2vt52tf800,-1,1
1d87n229bb80m800,-1,6
1d87fjqngak8h800,1,3
1d879m33n24gp000,1,12
1d86qd5p1ak8h800,1,4
1d86p5dfdas0h800,1,1
1d86kn5i6ak8h800,-1,3
1d86d7rt952tf800,0,1
1d86crb4u52tf800,0,1
